genome_id,source,organism,genus,species,strain,closest_placement_reference
GCF_003635025.1,ncbi,,,,,
GCF_900114905.1,ncbi,,,,,
GCF_007829955.1,ncbi,,,,,
GCF_018070075.1,ncbi,,,,,
GCF_016859185.1,ncbi,,,,,
GCF_018141105.1,ncbi,,,,,
GCF_022392385.1,ncbi,,,,,
GCF_000062885.1,ncbi,,,,,
GCF_002564065.1,ncbi,,,,,
GCF_900116135.1,ncbi,,,,,
GCF_014203325.1,ncbi,,,,,
GCF_022828475.1,ncbi,,,,,
GCF_024734405.1,ncbi,,,,,
GCF_008630535.1,ncbi,,,,,
GCF_013410345.1,ncbi,,,,,
GCF_900112555.1,ncbi,,,,,
GCF_900108315.1,ncbi,,,,,
GCF_014203395.1,ncbi,,,,,
GCF_014697215.1,ncbi,,,,,
GCF_003931915.1,ncbi,,,,,
GCF_025643595.1,ncbi,,,,,
GCF_012277335.1,ncbi,,,,,
GCF_016526145.1,ncbi,,,,,
GCF_014490055.1,ncbi,,,,,
GCF_002846475.1,ncbi,,,,,
GCF_000194155.1,ncbi,,,,,
