user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
AalE_18-Q3-R2-46_BAT3C.116	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ANI	N/A	GCA_903853895.1, s__Rhodoferax sp903853895, 95.0, 80.01, 0.45; GCF_002943465.1, s__Rhodoferax sp002943465, 95.0, 79.85, 0.38; GCF_001955715.1, s__Rhodoferax saidenbachensis, 95.0, 79.85, 0.38; GCA_903945325.1, s__Rhodoferax sp903945325, 95.0, 79.68, 0.4; GCA_001795455.1, s__Rhodoferax sp001795455, 95.0, 79.61, 0.41; GCF_003415675.1, s__Rhodoferax sp003415675, 95.0, 79.54, 0.35; GCA_001770935.1, s__Rhodoferax sp001770935, 95.0, 79.49, 0.36; GCA_002256115.1, s__Rhodoferax sp002256115, 95.0, 79.3, 0.31; GCF_005876985.1, s__Rhodoferax bucti, 95.0, 79.27, 0.37; GCA_903924955.1, s__Rhodoferax sp903924955, 95.0, 79.27, 0.41; GCA_903845935.1, s__Rhodoferax sp903845935, 95.0, 79.24, 0.32; GCF_002251855.1, s__Rhodoferax sp002251855, 95.0, 79.23, 0.36; GCA_903863395.1, s__Rhodoferax sp903863395, 95.0, 79.16, 0.4; GCA_013297935.1, s__Rhodoferax sp013297935, 95.0, 79.15, 0.32; GCA_903886275.1, s__Rhodoferax sp903886275, 95.0, 79.05, 0.34; GCF_002163715.1, s__Rhodoferax sp002163715, 95.0, 79.0, 0.29; GCA_008015235.1, s__Rhodoferax sp008015235, 95.0, 78.98, 0.37; GCA_004293725.1, s__Rhodoferax sp004293725, 95.0, 78.83, 0.32; GCA_009925925.1, s__Rhodoferax sp009925925, 95.0, 78.75, 0.32; GCA_002422455.1, s__Rhodoferax sp002422455, 95.0, 78.61, 0.35; GCA_903954045.1, s__Rhodoferax sp903954045, 95.0, 78.61, 0.26; GCF_003347515.1, s__Rhodoferax sp003347515, 95.0, 78.59, 0.34; GCA_011391645.1, s__Rhodoferax sp011391645, 95.0, 78.57, 0.36; GCA_903897925.1, s__Rhodoferax sp903897925, 95.0, 78.54, 0.26; GCF_002017865.1, s__Rhodoferax fermentans, 95.0, 78.5, 0.25; GCA_002413825.1, s__Rhodoferax sp002413825, 95.0, 78.48, 0.3; GCA_002390825.1, s__Rhodoferax sp002390825, 95.0, 78.42, 0.29; GCF_013416775.1, s__Rhodoferax sp013416775, 95.0, 78.41, 0.25; GCA_013791765.1, s__Rhodoferax sp013791765, 95.0, 78.39, 0.25; GCA_903960915.1, s__Rhodoferax sp903960915, 95.0, 78.35, 0.28; GCA_903928635.1, s__Rhodoferax sp903928635, 95.0, 78.31, 0.33; GCA_012927445.1, s__Rhodoferax sp012927445, 95.0, 78.28, 0.29; GCA_903870955.1, s__Rhodoferax sp903870955, 95.0, 78.28, 0.23; GCF_000013605.1, s__Rhodoferax ferrireducens, 95.0, 78.26, 0.28; GCA_002842265.1, s__Rhodoferax sp002842265, 95.0, 78.25, 0.31; GCA_011391545.1, s__Rhodoferax sp011391545, 95.0, 78.22, 0.32; GCA_010365055.1, s__Rhodoferax sp010365055, 95.0, 78.22, 0.27; GCA_903870065.1, s__Rhodoferax sp903870065, 95.0, 78.22, 0.26; GCA_001771065.1, s__Rhodoferax sp001771065, 95.0, 78.22, 0.25; GCA_903864505.1, s__Rhodoferax sp903864505, 95.0, 78.19, 0.27; GCF_006974105.1, s__Rhodoferax sp006974105, 95.0, 78.17, 0.25; GCA_903944555.1, s__Rhodoferax sp903944555, 95.0, 78.15, 0.27; GCA_002083775.1, s__Rhodoferax ferrireducens_A, 95.0, 78.14, 0.28; GCF_001938565.1, s__Rhodoferax antarcticus, 95.0, 78.11, 0.26; GCA_903876045.1, s__Rhodoferax sp903876045, 95.0, 78.08, 0.22; GCA_903905735.1, s__Rhodoferax sp903905735, 95.0, 78.05, 0.24; GCA_903920695.1, s__Rhodoferax sp903920695, 95.0, 78.04, 0.26; GCA_002789915.1, s__Rhodoferax sp002789915, 95.0, 78.03, 0.31; GCA_903828665.1, s__Rhodoferax sp903828665, 95.0, 78.03, 0.27; GCA_008080595.1, s__Rhodoferax sp008080595, 95.0, 77.99, 0.26; GCA_903958915.1, s__Rhodoferax sp903958915, 95.0, 77.97, 0.25; GCA_903876735.1, s__Rhodoferax sp903876735, 95.0, 77.94, 0.27; GCA_903886165.1, s__Rhodoferax sp903886165, 95.0, 77.89, 0.26; GCA_903840825.1, s__Rhodoferax sp903840825, 95.0, 77.88, 0.24; GCA_009924455.1, s__Rhodoferax sp009924455, 95.0, 77.86, 0.3; GCA_009693325.1, s__Rhodoferax sp009693325, 95.0, 77.8, 0.25; GCA_002786915.1, s__Rhodoferax sp002786915, 95.0, 77.8, 0.23; GCA_001871515.1, s__Rhodoferax sp001871515, 95.0, 77.74, 0.28; GCA_903914175.1, s__Rhodoferax sp903914175, 95.0, 77.71, 0.25; GCA_903914985.1, s__Rhodoferax sp903914985, 95.0, 77.71, 0.24; GCA_903869595.1, s__Rhodoferax sp903869595, 95.0, 77.7, 0.24; GCA_903928325.1, s__Rhodoferax sp903928325, 95.0, 77.7, 0.3; GCA_903839085.1, s__Rhodoferax sp903839085, 95.0, 77.69, 0.26; GCA_903859265.1, s__Rhodoferax sp903859265, 95.0, 77.69, 0.23; GCA_903873485.1, s__Rhodoferax sp903873485, 95.0, 77.69, 0.2; GCA_002784245.1, s__Rhodoferax sp002784245, 95.0, 77.68, 0.32; GCA_903951445.1, s__Rhodoferax sp903951445, 95.0, 77.66, 0.23; GCA_014190675.1, s__Rhodoferax sp014190675, 95.0, 77.63, 0.21; GCA_903897005.1, s__Rhodoferax sp903897005, 95.0, 77.59, 0.24; GCA_903896425.1, s__Rhodoferax sp903896425, 95.0, 77.57, 0.23; GCA_903856025.1, s__Rhodoferax sp903856025, 95.0, 77.56, 0.21; GCA_903861575.1, s__Rhodoferax sp903861575, 95.0, 77.54, 0.25; GCA_009922295.1, s__Rhodoferax sp009922295, 95.0, 77.53, 0.2; GCA_007280205.1, s__Rhodoferax sp007280205, 95.0, 77.52, 0.18; GCA_903938955.1, s__Rhodoferax sp903938955, 95.0, 77.51, 0.21; GCA_003133245.1, s__Rhodoferax sp003133245, 95.0, 77.4, 0.22; GCA_903948045.1, s__Rhodoferax sp903948045, 95.0, 77.4, 0.18; GCA_002381045.1, s__Rhodoferax sp002381045, 95.0, 76.9, 0.16	93.11	11	0.9793830182589038	N/A
AalE_18-Q3-R2-46_BAT3C.151	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAABQG01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic novelty determined using RED	N/A	N/A	93.29	11	0.9665560379318479	N/A
AalE_18-Q3-R2-46_BAT3C.188	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	N/A	N/A	N/A	N/A	N/A	GCA_002748155.1	95.0	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__GCA-2748155 sp002748155	79.0	0.39	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	87.39	11	0.9205967932490455	N/A
AalE_18-Q3-R2-46_BAT3C.189	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	N/A	N/A	N/A	N/A	N/A	GCA_002342985.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__PHOS-HE28 sp002342985	81.38	0.56	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013360395.1, s__PHOS-HE28 sp013360395, 95.0, 79.87, 0.38; GCA_014584605.1, s__PHOS-HE28 sp014584605, 95.0, 79.86, 0.36; GCA_002360495.1, s__PHOS-HE28 sp002360495, 95.0, 79.13, 0.3; GCA_008016945.1, s__PHOS-HE28 sp008016945, 95.0, 79.11, 0.3; GCA_902826215.1, s__PHOS-HE28 sp902826215, 95.0, 79.08, 0.3; GCA_002482775.1, s__PHOS-HE28 sp002482775, 95.0, 78.97, 0.33; GCA_902825795.1, s__PHOS-HE28 sp902825795, 95.0, 78.86, 0.25; GCA_002396605.1, s__PHOS-HE28 sp002396605, 95.0, 78.02, 0.25	91.62	11	0.9608041583764242	N/A
AalE_18-Q3-R2-46_BAT3C.1_cln	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.41	11	0.7488682226792931	N/A
AalE_18-Q3-R2-46_BAT3C.202	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.49	0.85	GCA_002473265.1	95.0	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	98.49	0.85	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000299415.1, s__Microthrix parvicella, 95.0, 81.18, 0.59	85.71	11	N/A	N/A
AalE_18-Q3-R2-46_BAT3C.204	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	GCF_014352935.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	96.34	0.9	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	ANI	topological placement and ANI have incongruent species assignments	GCF_014352935.1, s__Aliarcobacter cryaerophilus_A, 95.0, 96.34, 0.9; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 94.0, 0.89; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 93.56, 0.86; GCF_003355515.1, s__Aliarcobacter trophiarum, 95.0, 86.83, 0.8; GCF_003544835.1, s__Aliarcobacter skirrowii, 95.0, 86.67, 0.74; GCF_013201705.1, s__Aliarcobacter faecis, 95.0, 83.69, 0.76; GCF_013372265.1, s__Aliarcobacter cibarius, 95.0, 83.45, 0.73; GCF_004299785.2, s__Aliarcobacter porcinus, 95.0, 83.02, 0.68; GCF_003316695.1, s__Aliarcobacter sp003316695, 95.0, 82.89, 0.74; GCF_013201625.1, s__Aliarcobacter lanthieri, 95.0, 82.69, 0.76; GCF_004214815.1, s__Aliarcobacter thereius, 95.0, 82.54, 0.68; GCF_900187115.1, s__Aliarcobacter butzleri, 95.0, 81.86, 0.7; GCF_003063295.1, s__Aliarcobacter sp003063295, 95.0, 81.77, 0.65; GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 81.18, 0.68; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 81.13, 0.67; GCF_013201725.1, s__Aliarcobacter defluvii, 95.0, 80.83, 0.63; GCF_013177635.1, s__Aliarcobacter aquimarinus, 95.0, 80.74, 0.67; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 80.63, 0.6; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 80.3, 0.63; GCF_013201665.1, s__Aliarcobacter venerupis, 95.0, 80.13, 0.62; GCF_013177675.1, s__Aliarcobacter acticola, 95.0, 79.91, 0.59; GCF_004214795.1, s__Aliarcobacter pacificus, 95.0, 79.24, 0.51	88.62	11	N/A	N/A
AalE_18-Q3-R2-46_BAT3C.211	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	N/A	N/A	N/A	N/A	N/A	GCA_008080565.1	95.0	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__Azonexus sp008080565	86.73	0.68	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	taxonomic classification defined by topology and ANI	N/A	GCA_013335535.1, s__Azonexus sp013335535, 95.0, 85.99, 0.68; GCA_002840785.1, s__Azonexus sp002840785, 95.0, 85.95, 0.61; GCA_002842145.1, s__Azonexus sp002842145, 95.0, 85.08, 0.62; GCA_903930395.1, s__Azonexus sp903930395, 95.0, 84.02, 0.73; GCF_003441615.1, s__Azonexus sp003441615, 95.0, 83.76, 0.63; GCF_000012425.1, s__Azonexus aromaticus_A, 95.0, 83.05, 0.6; GCF_009469585.1, s__Azonexus sp009469585, 95.0, 82.89, 0.57; GCF_001551835.1, s__Azonexus denitrificans, 95.0, 82.62, 0.55; GCA_903922075.1, s__Azonexus sp903922075, 95.0, 82.61, 0.59; GCF_009469765.1, s__Azonexus hortensis, 95.0, 82.56, 0.55; GCA_002440665.1, s__Azonexus sp002440665, 95.0, 82.55, 0.53; GCF_009469615.1, s__Azonexus sp009469615, 95.0, 82.39, 0.53; GCF_008711155.1, s__Azonexus sp008711155, 95.0, 82.13, 0.55; GCF_000519045.1, s__Azonexus agitatus, 95.0, 82.0, 0.56; GCA_013363835.1, s__Azonexus sp013363835, 95.0, 81.95, 0.53; GCA_008933675.1, s__Azonexus sp008933675, 95.0, 81.8, 0.45; GCF_001956855.1, s__Azonexus hydrophilus_A, 95.0, 81.67, 0.48; GCA_002840765.1, s__Azonexus sp002840765, 95.0, 81.57, 0.54; GCA_002470165.1, s__Azonexus sp002470165, 95.0, 81.56, 0.51; GCF_012275485.1, s__Azonexus sp012275485, 95.0, 81.56, 0.51; GCA_002842345.1, s__Azonexus sp002842345, 95.0, 81.41, 0.46; GCA_004379165.1, s__Azonexus sp004379165, 95.0, 81.37, 0.54; GCF_000429605.1, s__Azonexus hydrophilus, 95.0, 81.34, 0.48; GCA_002345845.1, s__Azonexus sp002345845, 95.0, 81.28, 0.47; GCA_003583745.1, s__Azonexus sp003583745, 95.0, 81.19, 0.48; GCA_002425245.1, s__Azonexus sp002425245, 95.0, 81.16, 0.44; GCF_003634965.1, s__Azonexus fungiphilus, 95.0, 81.16, 0.46; GCA_013693915.1, s__Azonexus sp013693915, 95.0, 80.76, 0.42; GCA_012026885.1, s__Azonexus sp012026885, 95.0, 80.73, 0.49; GCA_011391255.1, s__Azonexus sp011391255, 95.0, 80.38, 0.39; GCA_002396525.1, s__Azonexus sp002396525, 95.0, 80.37, 0.38; GCA_009782025.1, s__Azonexus sp009782025, 95.0, 79.82, 0.49; GCA_009779265.1, s__Azonexus sp009779265, 95.0, 79.71, 0.48; GCA_012839675.1, s__Azonexus sp012839675, 95.0, 79.39, 0.33; GCA_903951825.1, s__Azonexus sp903951825, 95.0, 79.37, 0.41; GCA_900549295.1, s__Azonexus sp900549295, 95.0, 79.28, 0.36	84.49	11	0.9900611819046568	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AalE_18-Q3-R2-46_BAT3C.214	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	taxonomic classification defined by topology and ANI	N/A	GCF_006337105.1, s__Thermomonas sp006337105, 95.0, 87.45, 0.83; GCF_011302915.1, s__Thermomonas sp011302915, 95.0, 85.69, 0.77; GCF_014395425.1, s__Thermomonas brevis, 95.0, 85.12, 0.73; GCF_000423885.1, s__Thermomonas fusca, 95.0, 84.89, 0.74; GCF_014396975.1, s__Thermomonas carbonis, 95.0, 84.88, 0.81; GCF_004346265.1, s__Thermomonas haemolytica, 95.0, 84.41, 0.7; GCF_900129205.1, s__Thermomonas hydrothermalis, 95.0, 80.94, 0.59	88.21	11	0.972485410000367	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
AalE_18-Q3-R2-46_BAT3C.229	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	taxonomic classification fully defined by topology	N/A	N/A	89.5	11	0.9109673195245589	N/A
