MAG	NumContigs	TotBP	MaxContigBP	AvContigBP	HQMAG	HQdRep	HQdRep99ANI	HQSpRep	Comp	Cont	StrHet	Circ	FLSSU	FLLSU	GTDBTaxRS95	MiDAS3_7Tax	MIdentity	MAlnLgth	SILVA138Tax	SIdentity	SAlnLgth	ilmcov	npcov	max_abund	mm27f	mm534r	ttl_polymorphic_rate	polymut_rate
AalE_18-Q3-R2-46_BAT3C.1_cln.fa	1	1451127	1451127	1451127	1083HQ	183_0	183_0	SPREPHQ	87.64	0	0	CIRCULAR	1	1	d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__RVW-14;g__;s__	ESV5150.1460;tax=d:Bacteria,p:Dependentiae,c:Babeliae,o:Babeliales,f:Vermiphilaceae,g:midas_g_5150,s:midas_s_5150;	85.3	1470	JX983997.1.1289 Bacteria;Dependentiae;Babeliae;Babeliales;uncultured bacterium	89.9	1293	10.876333	10.614671	0.17912011	1	0	0.00163999203771982	0.000520391997936853
AalE_18-Q3-R2-46_BAT3C.116.fa	8	4141536	1159567	517692	1083HQ	373_1	373_1	SPREPHQ	98.91	0.47	100	NA	2	2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	ESV38.1457;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:Rhodoferax,s:Rhodoferax_ferrireducens;	99.7	1457	FPLP01003820.16.1530 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;metagenome	99.5	1515	15.367276	24.24349	0.51743746	0	0	0.0229576199209759	0.00433038654187703
AalE_18-Q3-R2-46_BAT3C.151.fa	17	4043974	1216009	237880.8	1083HQ	381_1	381_1	NA	94.7	0.47	100	NA	1	1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SCMQ01;s__	ESV50.1455;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Burkholderiaceae,g:midas_g_33,s:midas_s_50;	99.9	1456	FPLM01004542.12.1524 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;metagenome	99.8	1514	14.5182085	20.35937	NA	0	0	0.0447713660551635	0.0107876775421517
AalE_18-Q3-R2-46_BAT3C.188.fa	10	3441549	1352175	344154.9	1083HQ	543_1	543_1	NA	91.8	1.08	66.67	NA	1	1	d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Dermatophilaceae;g__GCA-2748155;s__	ESV10.1442;tax=d:Bacteria,p:Actinobacteria,c:Actinobacteria,o:Micrococcales,f:Intrasporangiaceae,g:Tetrasphaera,s:midas_s_5;	100	1442	FPLP01005492.16.1514 Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Intrasporangiaceae;Tetrasphaera;metagenome	99.5	1500	33.451553	43.684937	NA	0	0	0.0210688179652549	0.00424536517129185
AalE_18-Q3-R2-46_BAT3C.189.fa	36	3924042	1050064	109001.2	1083HQ	283_1	283_1	SPREPHQ	95.07	0.27	100	NA	1	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__PHOS-HE28;g__PHOS-HE28;s__	ESV2313.1445;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Flavobacteriales,f:NS9_marine_group,g:midas_g_225,s:midas_s_2313;	99.7	1445	FPLP01002663.16.1518 Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;NS9 marine group;metagenome	99.6	1503	9.20849	11.206886	0.572419	0	0	0.0352956512023439	0.00990561794581895
AalE_18-Q3-R2-46_BAT3C.202.fa	27	4146565	599692	153576.5	1083HQ	531_1	531_5	NA	90.6	2.56	33.33	NA	1	1	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__Microtrichaceae;g__Microthrix;s__Microthrix sp002473265	ESV2.1445;tax=d:Bacteria,p:Actinobacteria,c:Acidimicrobiia,o:Microtrichales,f:Microtrichaceae,g:Ca_Microthrix,s:midas_s_2;	99	1446	FPLM01002571.16.1519 Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Candidatus Microthrix;metagenome	98.8	1505	9.977087	11.774603	NA	0	1	0.0247831316554202	0.00728688997100307
AalE_18-Q3-R2-46_BAT3C.204.fa	27	1886931	546954	69886.3	1083HQ	3_1	3_1	SPREPHQ	98.17	2.24	66.67	NA	4	6	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter cryaerophilus_A	ESV2255.1440;tax=d:Bacteria,p:Epsilonbacteraeota,c:Campylobacteria,o:Campylobacterales,f:Arcobacteraceae,g:Arcobacter,s:Arcobacter_cryaerophilus;	99.9	1440	FR682113.1.1402 Bacteria;Campilobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Arcobacter;Arcobacter cryaerophilus	99.6	1402	12.512568	17.373053	0.2063871	0	0	0.0394048782433537	0.00971129219606573
AalE_18-Q3-R2-46_BAT3C.211.fa	15	3578532	690038	238568.8	1083HQ	325_0	325_0	SPREPHQ	90.84	4.74	76.92	NA	3	3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	ESV2238.1460;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Betaproteobacteriales,f:Rhodocyclaceae,g:Ferribacterium,s:Ferribacterium_limneticum;	99.9	1460	GQ389136.1.1503 Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Ferribacterium;uncultured bacterium	99.3	1503	69.81996	43.07601	1.2758651	0	0	0.0196960216593787	0.00345403655568354
AalE_18-Q3-R2-46_BAT3C.214.fa	16	2613817	506654	163363.6	1083HQ	360_1	360_2	NA	94.91	2	20	NA	2	3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Thermomonas;s__	ESV203.1467;tax=d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Thermomonas,s:midas_s_203;	98.7	1467	CU919204.2.1367 Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Thermomonas;uncultured bacterium	98.4	1366	10.531706	17.577188	NA	0	0	0.0725749776221692	0.0236253171080024
AalE_18-Q3-R2-46_BAT3C.229.fa	10	4275206	1675714	427520.6	1083HQ	150_1	150_1	NA	94.31	0	0	NA	2	1	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA3362;s__	ESV177.1454;tax=d:Bacteria,p:Bacteroidetes,c:Bacteroidia,o:Chitinophagales,f:Saprospiraceae,g:midas_g_65,s:midas_s_177;	99.9	1455	JN391572.1.1497 Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;uncultured;uncultured bacterium	99.3	1497	7.1531825	13.699193	NA	0	0	0.0125848154960441	0.0038645478583312
